title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Most Residents Thrice Wed or More: States,10/24/2013,places,lifestyle,Arkansas,NA,NA,most-residents-thrice-wed-or-more-states.csv,"Is the third time the charm? Arkansans, who have the highest 3+ marriage rate, seem to think so",NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the percentage of the population ages 15 years and older who have been married at least three times.,Data were rounded.,2012 U.S. Census ACS 1-Year Estimates,2013-10-24
Biggest Drop in Debt Relative to GDP: Countries,10/24/2013,places,economics,Greece,NA,NA,biggest-drop-in-debt-relative-to-gdp-countries-1.csv,Government debt relative to GDP is falling for many debt-laden countries except Egypt and Spain,NA,NA,NA,Bloomberg ranked countries based on the estimated percentage-point change in government debt as a percentage of GDP from 2013 to 2018.,Included were countries with an estimated GDP of $50 billion or more in 2013 and estimated government debt as a percentage of GDP of more than 100 percent in either 2013 or 2018.  A negative change indicates a reduction in the debt ratio.,International Monetary Fund World Economic Outlook Database,2013-10-24
Most Money Raised: Kickstarter Campaigns,10/24/2013,other,business,Pebble: E-Paper Watch for iPhone and Android,NA,NA,most-money-raised-kickstarter-campaigns.csv,Sixteen Kickstarter campaigns raised more than $1M each since inception of site,NA,NA,NA,Bloomberg ranked Kickstarter campaigns based on the amount raised.,"The ranking covers completed campaigns since kickstarter.com's inception on April 28, 2009.",Kickstarter.com,2013-10-24
Most Funds Raised Through Green Bonds: Issuers,10/23/2013,companies,business,World Bank: International Bank for Reconstruction and Development,NA,NA,most-funds-raised-through-green-bonds-issuers.csv,World Bank organizations have sold more than $5 billion of bonds to reduce greenhouse gas emissions,NA,NA,NA,Bloomberg ranked multilateral organizations issuing green bonds to fund clean-energy projects based on the total value of offerings.,"The ranking includes only bonds that were publicly disclosed based on ratings and other announcements from data compiled by Bloomberg New Energy Finance from January 1, 2007 through October 16, 2013. Currency conversions were calculated on the date of issuance.",Bloomberg,2013-10-23
Most Common in China: Surnames,10/22/2013,people,lifestyle,Ã¦ÂÅ½,NA,NA,most-common-in-china-surnames.csv,Nearly 7% of the Chinese population has the surname Li (æŽ),NA,NA,NA,Bloomberg ranked Chinese surnames based on the size of population sharing them.,"Bloomberg Rankings annotated the basic Pinyin pronunciation for the 100 most common surnames and calculated their percentages within the entire Chinese population, which was 1.37 billion as of 2010. These 100 surnames account for over three-quarters of the entire Chinese population. Pinyin is the official system for phonic spelling of Chinese characters in mainland China.",Sixth Chinese National Population Census,2013-10-22
Biggest Rise in Health-Care Cost Relative to Income: Countries,10/21/2013,places,personal-finance,United States,NA,NA,biggest-rise-in-health-care-cost-relative-to-income-countries.csv,"For every $1,000 increase in Americans'  income from 2001-2011, their health-care costs rose $291",NA,NA,NA,Bloomberg ranked countries based on the increase in health-care cost relative to the increase in income over 10 years.,"Data from 2001 to 2011 on GDP per capita, total health expenditure and health expenditure breakdowns were analyzed. Total health expenditure, which covers preventive and curative health services, family planning, nutrition activities and emergency aid, is the sum of public and private health expenditures.  Private health expenditure includes direct household spending and private insurance. Out-of-pocket cost is part of private health cost and is direct individual outlay. Included were countries with a ten-year annualized rate of health-care cost increase that exceeded that of the GDP per capita, with current GDP per capita of at least $1,000 and with a population of at least 5 million.","International Monetary Fund, World Health Organization, World Bank",2013-10-21
Most Licensed Drivers 19 and Younger: States,10/16/2013,places,lifestyle,Iowa,NA,NA,most-licensed-drivers-19-and-younger-states.csv,Iowa and South Dakota lead the U.S. in percentage of youngest drivers,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the percentage of licensed drivers ages 19 and younger.,"Data are for 2011, the most recent year available. Illinois data are for 2010.",Federal Highway Administration,2013-10-16
Most Licensed Drivers Age 85+: States,10/16/2013,places,lifestyle,Connecticut,NA,NA,most-licensed-drivers-age-85-plus-states.csv,Connecticut has more than double the percentage of 85+ licensed drivers than any other state,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the percentage of licensed drivers ages 85 and older.,"Data are for 2011, the most recent year available. Illinois data are for 2010.",Federal Highway Administration,2013-10-16
Biggest Five-Year Decline in Pension Funding: States,10/15/2013,places,economics,Vermont,NA,TRUE,biggest-five-year-decline-in-pension-funding-states.csv,All but five states saw a decline in pension funding ratios between 2007 and 2012,NA,http://www.bloomberg.com/news/2013-11-06/illinois-evading-pension-fix-leads-state-gaps-wider-muni-credit.html,NA,Bloomberg ranked states based on the percentage-point change in each state's pension funding between 2007 and 2012.,Data were obtained by the Bloomberg Municipal Data Team and the Municipal Fundamentals Team from each state's Comprehensive Annual Financial Report. Data are for individual state's respective fiscal year-ends as of the date of the publication of the CAFR.,Bloomberg,2013-10-15
Highest Salaries for Software Engineers: Companies,10/14/2013,companies,business,Juniper Networks,NA,NA,highest-salaries-for-software-engineers-companies.csv,The base salary for software engineers at Juniper Networks is 25% higher than at Google,NA,http://www.bloomberg.com/slideshow/2013-10-25/geek-love-companies-that-pay-software-engineers-the-most.html,NA,"Bloomberg ranked companies based on the average base salary for software engineers reported by employees to Glassdoor, a California-based jobs and career community, between October 1, 2012 and September 30, 2013.",Salaries for each company were based on at least 50 reports by engineers.,"Glassdoor
",2013-10-14
Highest Salaries for Software Engineers: U.S. Cities,10/14/2013,places,business,"San Jose, CA",NA,NA,highest-salaries-for-software-engineers-us-cities.csv,"West Coast software engineers earn most, though Boston, NYC and Baltimore also make the top 10",NA,NA,NA,"Bloomberg ranked U.S. cities based on the average base salary for software engineers reported to Glassdoor, a California-based jobs and career community, between October 1, 2012 and September 30, 2013.","Salaries for each metropolitan area were based on at least 150 salary reports by software engineers. The U.S. national average is based on 33,000 software engineer salary reports submitted to Glassdoor.",Glassdoor,2013-10-14
Worst Five-Year Outlook in Europe: Countries,10/11/2013,places,economics,Spain,NA,NA,worst-five-year-outlook-in-europe-countries.csv,Mediterranean countries still have Europe's worst economic prospects; Scandinavian nations have best,NA,NA,NA,"Bloomberg ranked EU countries, Iceland, Norway and Switzerland based on five-year forecasts for their economies.","Gini scores (a measure of income inequality) from the most recent five years of data were included, with higher inequality scores negatively affecting countries' overall scores. For each variable, the maximum and minimum values of the 31 countries were determined. Countries received a score of 0-100, calculated proportionally, based on where their scores fell between these two extremes. The four scores were then averaged for a final score. A lower final score indicates a worse economic outlook. Gini scores are from 1-100, with 1 representing perfect income equality and 100 perfect inequality. Income refers to ""equivalized disposable income,"" according to Eurostat.","International Monetary Fund, Eurostat",2013-10-11
Top 20 Tech-Turnaround Artists: CEOs,10/11/2013,people,business,Stephen Luczo,NA,TRUE,top-20-tech-turnaround-artists-ceos.csv,These tech CEOs turned their stocks from laggards to outperformers,NA,http://www.bloomberg.com/slideshow/2013-10-17/tech-s-top-turnaround-artists.html?alcmpid=gtech,NA,"Bloomberg ranked CEOs of technology companies based on the improvement of each company's stock performance from the week before its CEO's appointment was announced until October 11, 2013.","Companies were drawn from a list of the top 250 U.S. technology companies by market capitalization. The list included companies in the e-commerce, internet media and internet-based services industries, and excluded companies in the distribution, information services and payment and data processor industries. Excluded were CEOs who were founders of their companies or had  tenure of less than one year or more than 10 years as of October 11, 2013. To create this ranking, the total returns of the stocks were calculated from one week before the CEO's appointment was announced (because rumors may have been circulating) until October 11, 2013, and for the two years prior to that period. These returns were compared to the performance of the S&P 500 for the same periods and the difference in percentage points was calculated. All returns are cumulative. Only companies that underperformed the S&P 500 prior to the CEO announcement period and outperformed since that time appear on the list.","Bloomberg, company releases",2013-10-11
Harshest Future Austerity Measures: Countries,10/8/2013,places,economics,Japan,NA,NA,harshest-future-austerity-measures-countries.csv,"Japan may be under stimulus now, but plans for eventual withdrawal make it top-ranked for austerity",NA,NA,NA,Bloomberg ranked countries based on the forecast magnitude of austerity measures over the next two years.,"Using the IMF's October 2013 update of its World Economic Outlook Database, austerity is measured by the percentage-point change in the general government's structural balance -- the portion of a country's budget that governments can control through tax increases and/or spending cuts (economic cycles may change the balance further) -- as a percentage of GDP. General government refers to all levels of government combined: central, state/provincial/regional and local. A negative number in the structural balance indicates a budget deficit; a positive number indicates a surplus. Changes from 2011 to 2013 were included for comparison. All countries for which data were available are included.",International Monetary Fund,2013-10-08
Top-Selling Born Since 1980: Artists,10/2/2013,people,investing,Jacob Kassay,NA,TRUE,top-selling-born-since-1980-artists.csv,More than half of the 20 top-selling young artists are Asian,NA,http://go.bloomberg.com/market-now/2013/10/25/whos-the-best-selling-artist-you-dont-get-to-know/,NA,"Bloomberg ranked artists born since 1980 based on total sales-at-auctions data through September 30, 2013.",Sales included buyers' premiums. JR's identity is unconfirmed. Dash Snow died in 2009.,Artnet,2013-10-02
Top-Selling Born Since 1970: Artists,10/2/2013,people,investing,Banksy,NA,TRUE,top-selling-born-since-1970-artists.csv,British graffiti mural painter Banksy is the top-selling artist born since 1970,NA,http://go.bloomberg.com/market-now/2013/10/25/whos-the-best-selling-artist-you-dont-get-to-know/,NA,"Bloomberg ranked artists born since 1970 based on total sales-at-auctions data through September 30, 2013.",Sales included buyers' premiums.,Artnet,2013-10-02
Highest Growth in GDP and Population: States,9/30/2013,places,economics,North Dakota,NA,NA,highest-growth-in-gdp-and-population-states.csv,North Dakota and Texas lead the U.S. in economic and population growth since 2008,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the percentage change in population and real GDP from 2008 to 2012.,"The score is the average percentage rank of both factors. Census population estimates are as of July 1, 2008, and July 1, 2012.","U.S. Bureau of Economic Analysis, U.S. Census",2013-09-30
Greatest Risk of Stagflation: Countries,9/27/2013,places,economics,Cyprus,NA,NA,greatest-risk-of-stagflation-countries.csv,"Cyprus, Italy and Portugal top this list of countries in danger of stagflation",NA,NA,NA,Bloomberg ranked countries based on their risk of stagflation.,"First, the average real Gross Domestic Product change and average Consumer Price Index change was calculated for each country from 2012 to 2014. Then the Stagflation Score was determined by multiplying average real GDP change by average CPI change if the average real GDP change was negative or by dividing average real GDP change by average CPI change if the average real GDP change was positive. The lower the score, the greater the risk of stagflation. Data for Kuwait Real GDP 2012 were estimates. Data for Cyprus were provided by the European Commission.",Bloomberg,2013-09-27
Top-Grossing in U.S.: Stephen King Movies,9/25/2013,other,business,The Green Mile,NA,NA,top-grossing-in-u-dot-s-stephen-king-movies.csv,The Green Mile is king based on box-office receipts,NA,NA,NA,Bloomberg ranked movies based on Stephen King novels by all-time U.S. box-office receipts.,"U.S. receipts were adjusted to the estimated 2013 average ticket price of $8.16. Inflation-adjustment is mostly done by multiplying estimated admissions by the latest average ticket price. Where admissions are unavailable, adjustment is based on the average ticket price for when each movie was released (taking in to account re-releases where applicable).",IMDb/Box Office Mojo,2013-09-25
Most Bike Lanes: U.S. Cities,9/25/2013,places,lifestyle,"Tucson, AZ",NA,NA,most-bike-lanes-us-cities.csv,Tucson leads U.S. cities in miles of on-street bike lanes,NA,NA,NA,"Bloomberg ranked 25 U.S. cities with more than 354,000 residents based on the miles of on-street bike lanes.",Data from the 2009 American Community Survey were used for the Benchmarking Report.,"Alliance for Biking & Walking, Bicycling and Walking in the United States 2012 Benchmarking Report",2013-09-25
Worst Gridlock: U.S. Cities,9/25/2013,places,lifestyle,"Washington, DC-VA-MD",NA,NA,worst-gridlock-us-cities.csv,DC motorists waste 67 hours each year sitting in traffic,NA,NA,NA,"Bloomberg ranked U.S. metropolitan areas with more than 500,000 residents based on annual hours of delays per commuter in 2012.",The cost of congestion is based on an estimated value of $16.79 for each hour of person travel and $86.81 per hour of truck time as well as the average cost of fuel in each state.,"Texas A&M University, Texas Transportation Institute, Urban Mobility Report 2012",2013-09-25
Biggest Declines in Homeownership: States,9/23/2013,places,economics,Nevada,NA,NA,biggest-declines-in-homeownership-states.csv,"Nevada homeownership is down 10 percentage points since 2004, the peak year for U.S. homeownership",NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the percentage-point change in the annual homeownership rate from 2004 to 2012.,Only occupied houses were included.,U.S. Census Current Population Survey/Housing Vacancy Survey,2013-09-23
Most Reliant on Nuclear Energy: Countries,9/23/2013,places,economics,France,NA,TRUE,most-reliant-on-nuclear-energy-countries.csv,Three-quarters of France's energy comes from nuclear power,NA,NA,NA,Bloomberg ranked countries based on nuclear power as a percentage of total energy consumption.,Each country's production of nuclear electricity is shown.,World Nuclear Association,2013-09-23
Highest Homeownership Rates: U.S. Cities,9/19/2013,places,economics,"Grand Rapids-Wyoming, MI",NA,NA,highest-homeownership-rates-us-cities.csv,"Grand Rapids has the highest, and L.A. the lowest, homeownership rate in the U.S.",NA,NA,NA,"Bloomberg ranked the 75 largest metropolitan statistical areas in the U.S. based on their homeownership rate in Q2 2013, the latest data available.",The homeownership rate included only occupied houses.,U.S. Census Current Population Survey/Housing Vacancy Survey,2013-09-19
Longest-Tenured in U.S.: CFOs,9/12/2013,people,business,Paul Coghlan,NA,NA,longest-tenured-in-u-dot-s-cfos.csv,Paul Coghlan of Linear Technology is the longest-running CFO among the largest U.S. companies,NA,NA,NA,"Bloomberg ranked CFOs on their tenure as of August 31, 2013, and identified 15 who have been in their jobs the longest.","Included at the top were 500 U.S. companies by market capitalization. Only CFOs still at their companies were considered. Murray Goldberg of Regeneron Pharmaceuticals is scheduled to retire on October 1, 2013.",Bloomberg,2013-09-12
Oldest Operating Reactors in the U.S.: Nuclear Power Plants,9/11/2013,other,business,"Nine Mile Point Nuclear Station, Unit 1",NA,TRUE,oldest-operating-reactors-in-the-u-dot-s-nuclear-power-plants.csv,One-fifth of all U.S. nuclear power plants have been operating for 40 years or more,NA,NA,NA,Bloomberg ranked U.S. nuclear power plants based on the start date of commercial operation.,"Capacity factor refers to the ratio of available capacity (amount of electric power actually produced by a generating unit) to theoretical capacity (amount of electrical power that could have been produced if the unit had operatedcontinuously at full power). Capacity factors can exceed 100% for a variety of reasons. Fort Calhoun Station, which has a capacity factor of 0, is still licensed to operate so it is included on the list.",United States Nuclear Regulatory Commission,2013-09-11
Most Vaccinated Children: States,9/10/2013,places,lifestyle,Mississippi,NA,NA,most-vaccinated-children-states.csv,Mississippi leads the U.S. in vaccinations for children; Alaska comes in last,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the percentage of children ages 19 months to 35 months inoculated with seven vaccines recommended by the CDC.,Data are from July 2011 to June 2012 and are the latest available.,Centers for Disease Control and Prevention,2013-09-10
Biggest Recoveries in Financial Sector: Stocks,9/10/2013,investments,business,Fifth Third Bancorp,NA,NA,biggest-recoveries-in-financial-sector-stocks.csv,"These stocks rebounded after the financial crisis, though most have not come close to precrisis prices",NA,NA,NA,"Bloomberg ranked U.S. financial companies on the percentage-point difference between their stock returns from October 9, 2007 to March 9, 2009, which were the high and low points of the S&P 500 prior to and during the financial-crisis period, and from March 9, 2009 to September 10, 2013, which was the recovery period.","Included were companies with market capitalizations of at least $10 billion on October 9, 2007 and available stock prices. Real estate companies and REITs were excluded. Prices reflect stock splits.",Bloomberg,2013-09-10
Highest-Paid in U.S. While Outearning Their CEOs: CFOs,9/10/2013,people,personal-finance,Peter Oppenheimer,NA,NA,highest-paid-in-us-while-outearning-their-ceos-cfos.csv,Five of the 12 CFOs who most outearn their bosses work for tech companies,NA,NA,NA,Bloomberg ranked CFOs who outearned their companies' CEOs by the difference in total compensation between the two.,"Includes CFOs of the top 500 U.S. companies by market capitalization. All compensation is for the 2012 fiscal year. Companies where the CFO or the CEO had been in his job for less than a year were excluded, as were CFOs who are no longer in their jobs. Carlyle Group has two co-chief executive officers; the compensation shown is the sum of their pay.",Bloomberg,2013-09-10
Biggest Prospective Bubbles: U.S. Cities,9/9/2013,places,economics,"Yuma, AZ",NA,NA,biggest-prospective-bubbles-us-cities.csv,"Unemployment and housing prices are rising in Yuma, indicating a bubble may be ahead",NA,NA,NA,Bloomberg ranked U.S. metropolitan areas based on the year-over-year increase in unemployment and median housing list prices.,Scores were calculated by averaging the two percentage ranks of both criteria. Only metropolitan areas with an increase in both unemployment and median housing list prices between July 2012 and July 2013 were included. Unemployment rates were not seasonally adjusted.,"U.S. Bureau of Labor Statistics, Zillow",2013-09-09
Worst On-Time Arrivals: Airlines,9/6/2013,companies,business,China Eastern Airlines,NA,TRUE,worst-on-time-arrivals-airlines.csv,More than 40% of flights arrive late for two Chinese airlines,NA,NA,NA,Bloomberg ranked 16 international airlines by the percentage of on-time flight arrivals in 2013 through July 31.,"Sample size is the number of flights for which FlightStats was able to capture arrival data. For most airlines sample size exceeded 90% of all flights. A flight is considered on time if it arrives at the gate within 15 minutes of the scheduled gate time. Cancellations were subtracted from the sample size before on-time percentages were calculated. Only airlines with a sample size of at least 100,000 flights were included.",FlightStats.com,2013-09-06
Strongest in China: Banks,9/3/2013,companies,business,Bank of Beijing,NA,NA,strongest-in-china-banks.csv,"Bank of Beijing is the strongest bank in China, followed closely by Hang Seng Bank",NA,NA,NA,"Bloomberg ranked Chinese banks based on five weighted ratios: Tier 1 capital, the ratio of a bankâ€™s core equity capital to its risk-weighted assets (accounting for 40% of the score); the ratio of nonperforming assets to total assets (20%); the ratio of reserves for loan losses to nonperforming assets (20%); the ratio of deposits to funding (15%); and the efficiency ratio, which compares costs with revenues (5%).","For two ratios--nonperforming assets to total assets and efficiency--a lower percentage is better; for the remaining ratios a higher percentage is preferred. Banks were ranked on each criterion and the ranks were added together to determine each bank's position in the list. Included were banks domiciled in China and Hong Kong with total assets of $100 billion or more as of August 31, 2013. Sixteen banks qualified; data were for their 2012 fiscal year.",Bloomberg,2013-09-03
Most Tech-CEO Alumni: Colleges,8/29/2013,schools,business,Princeton University,NA,NA,most-tech-ceo-alumni-colleges.csv,Princeton graduates lead in the number of tech CEOs,NA,NA,NA,Bloomberg ranked the colleges and universities of CEOs of 250 U.S. technology companies with market capitalizations of more than $1 billion.,The top 10 schools are displayed.,"Bloomberg, companies",2013-08-29
Most Tech-CEO Graduate School Alumni: Colleges,8/29/2013,schools,business,Harvard University,NA,NA,most-tech-ceo-graduate-school-alumni-colleges-1.csv,Harvard is the No. 1 graduate school for tech CEOs,NA,NA,NA,Bloomberg ranked the graduate schools of CEOs of 250 U.S. technology companies with market capitalizations of more than $1 billion,"Rankings included all degrees received from those universities -- MBAs, J.D.s, Masters, etc. Schools at which the same CEO received multiple degrees are counted only once.","Bloomberg, companies",2013-08-29
Most Female CFA Society Members: Global Regions,8/28/2013,places,business,Asia Pacific,NA,NA,most-female-cfa-society-members-global-regions.csv,Almost one-quarter of CFA society members in the Asia-Pacific region are women,NA,NA,NA,Bloomberg ranked global regions based on the ratio of male to female members in local Chartered Financial Analyst (CFA) Institute chapters,Figures were aggregated.  Approximately 6% of members are in multiple CFA societies; about 90% of active members are CFA Charterholders. Active members include all those with a valid membership regardless of employment status.,CFA Institute - Society Demographic Profile Report FY 2013,2013-08-28
Fewest Female CFA Society Members: Countries,8/28/2013,places,business,Brazil,NA,NA,fewest-female-cfa-society-members-countries.csv,There are 11 male members for every female in Brazil and Japan's CFA societies,NA,NA,NA,Bloomberg ranked countries based on the ratio of male to female members in Chartered Financial Analyst (CFA) Institute chapters. Ranking excluded societies with fewer than 100 active members as of FY 2013.,"Ranking excluded societies with fewer than 100 active members as of FY 2013. For countries with multiple CFA societies, figures were aggregated. Approximately 6% of members are in multiple CFA societies; about 90% of active members are CFA Charterholders. Active members include all those with a valid membership regardless of employment status. Argentina and Uruguay are represented by one local chapter.",CFA Institute - Society Demographic Profile Report FY 2013,2013-08-28
Most Female Members: U.S. CFA Societies,8/28/2013,other,business,"CFA Society of Washington, DC",NA,NA,most-female-members-us-cfa-societies.csv,The District of Columbia's CFA society has the lowest male-to-female ratio of all CFA societies in the U.S.,NA,NA,NA,Bloomberg ranked local Chartered Financial Analyst (CFA) Institute chapters in the U.S. based on the ratio of male to female members.,Ranking excluded societies with fewer than 100 active members as of FY 2013. Approximately 6% of members are in multiple CFA societies; about 90% of active members are CFA Charterholders. Active members include all those with a valid membership regardless of employment status.,CFA Institute - Society Demographic Profile Report FY 2013,2013-08-28
Top Spenders on International Tourism: Countries,8/27/2013,places,economics,China,NA,NA,top-spenders-on-international-tourism-countries.csv,Chinese travelers spent a record $102 billion on international tourism last year,NA,NA,NA,Bloomberg ranked countries based on citizens' spending on international tourism in 2012.,"To compare countries, total expenditures were shown in U.S. dollars, though the year-over-year increase was shown in local currencies. Data were collected by the World Tourism Organization (UNWTO) in June 2013.",World Tourism Organization (UNWTO),2013-08-27
World's Worst for Departures: Airports,8/27/2013,places,business,Beijing Capital International,NA,NA,worlds-worst-for-departures-airports.csv,Beijing and Shanghai's primary international airports had the worst departure delays in 2012,NA,NA,NA,Bloomberg ranked 35 international airports by flight departure delays in 2012.,"Each airport received a departure-delay score based on the weighted sum of three degrees of lateness: late (15-29 minutes), very late (30-44 minutes) and excessively late (greater than 44 minutes). They were weighted 20%, 30% and 50%, respectively. Only completed flights for which FlightStats had final status were included. Cancellations were subtracted from the sample size before percentages were calculated. The sample size for most airports exceeded 90% of flights. Lateness was determined by scheduled versus actual gate time or, if that was unavailable, scheduled runway time versus actual runway time.",FlightStats.com,2013-08-27
Worst On-Time Arrivals in U.S.: Airports,8/27/2013,places,business,Newark Liberty International,NA,NA,worst-on-time-arrivals-in-u-dot-s-airports.csv,"Newark Liberty has the worst on-time arrival record in the U.S., with SFO close behind",NA,NA,NA,Bloomberg ranked 29 major U.S. airports based on the percentage of flights that arrived on time in 2012.,Figures for 2011 were added for comparison. A flight is considered to be on time if it arrives at the gate within 15 minutes of scheduled arrival time.Â ,"United States Department of Transportation, Bureau of Transportation Statistics",2013-08-27
Best in Florida for Seniors: Counties,8/27/2013,places,lifestyle,Sarasota,NA,NA,best-in-florida-for-seniors-counties.csv,Sarasota County takes top honors in catering to the 65+ population,NA,http://www.bloomberg.com/news/2013-09-18/nonagenarian-valley-produces-next-big-thing-for-elders.html,NA,Bloomberg ranked Florida counties with a critical mass of seniors to determine the best places for senior living.,"Five equally weighted factors were considered: mobility, wealth, leisure, education and senior concentration. Ranking excluded counties with less than 20,000 or 15% of population ages 65 and older. Demographic data were extracted from the 2007-2011 5Y and 2009-2011 3Y American Community Surveys of the U.S. Census. The Institute for Health Metric & Evaluation (IHME) at the University of Washington provided the county-specific life expectancy for males and females. For the purpose of this study, 1985 to 2010 averages were used. Leisure establishment data were extracted from the Bureau of Labor Statistics. Food and drink places included full, limited-services and other restaurants and places that serve beverages. Entertainment places included arts, entertainment and recreation establishments. Retail places included retail and trade establishments. Travel-related places included scenic and sightseeing transportation by water, land and air; and travel agencies, tour operators and other related travel arrangement and reservation services. Counts for 2012 were preliminary and included only private establishments.","U.S. Census, Bureau of Labor Statistics, Institute for Health Metric & Evaluation at the University of Washington",2013-08-27
Top Tourist Destinations: Countries,8/26/2013,places,lifestyle,France,NA,NA,top-tourist-destinations-countries.csv,International tourists are fondest of France though they spend more than twice as much in the U.S.,NA,NA,NA,Bloomberg ranked countries based on the number of international tourist arrivals in 2012 and identified the 15 with the most arrivals.,"International tourists are overnight visitors who are nonresidents of that country. Arrivals to Germany and Italy were counted at collective tourism establishments, such as hotels, campsites and conference centers; arrivals to remaining countries were counted at frontiers. Tourist figures refer to number of arrivals, not number of persons. Data were collected as of June 2013.",World Tourism Organization (UNWTO),2013-08-26
Most Retirement Spent Alone for Women: States,8/23/2013,places,lifestyle,District of Columbia,NA,NA,most-retirement-spent-alone-for-women-states.csv,Women in the U.S. live 16 years beyond retirement age and outlive men by 4.7 years on average,NA,NA,NA,Bloomberg ranked the 50 U.S. states and the District of Columbia based on the expected percentage of postretirement years females in each state will spend alone without a male life partner.,The percentage was calculated by dividing the average number of years a female was expected to outlive a male by the average postretirement life expectancy of the female. The ranking assumed a retirement age of 65. Data are latest available. Figures are rounded.,"2013 Measure of America project of the Social Science Research Council, Institute for Health Metric & Evaluation (IHME) at the University of Washington",2013-08-23
Highest Risk-Adjusted Returns in U.S. Tech: Companies,8/22/2013,investments,investing,MasterCard,NA,TRUE,highest-risk-adjusted-returns-in-us-tech-companies.csv,MasterCard has the best three-year risk-adjusted return among U.S. technology companies,NA,http://www.bloomberg.com/slideshow/2013-08-22/top-20-tech-stocks-least-pain-most-gain.html,NA,"Bloomberg ranked the companies in the S&P 500 Information Technology Sector Index and the S&P 500 Internet & Catalog Retail Industry Index by their stocks' risk-adjusted returns from August 16, 2010 to August 16, 2013.","Excluded were TripAdvisor, which didn't have three years of history, and companies headquartered outside the U.S. Names of the CEOs of these companies and their most recent pay are also shown. (Pay is given as NA if CEO didn't serve for the full fiscal year.)  For Akamai Technologies, Analog Devices, Electronic Arts, FLIR Systems, Intel, Jabil Circuit, Symantec, Visa and Western Digital, the CEO listed is no longer the chief executive officer. Risk-adjusted returns for Cisco Systems, KLA-Tencor, Linear Technology, Microsoft, Oracle, Paychex and Western Digital were for the fiscal year ending in 2013, though the latest compensation data was for the 2012 fiscal year.",Bloomberg,2013-08-22
Biggest Change in Real Estate Loans: Countries,8/20/2013,places,economics,Canada,NA,NA,biggest-change-in-real-estate-loans-countries.csv,"While residential real estate loans have cooled in the U.S., they're heating up in other countries",NA,NA,NA,Bloomberg ranked countries based on the change in the ratio of real estate loans to total loans.,Countries were ranked by the percentage-point difference in the fourth quarter of 2009 compared to the fourth quarter of 2012. Includes all countries with IMF data available for both quarters. Figures may not add up due to rounding.,International Monetary Fund,2013-08-20
Highest Growth in BRIC Fuel Consumption: Countries,8/16/2013,places,economics,China,NA,NA,highest-growth-in-bric-fuel-consumption-countries.csv,"While U.S. fuel consumption is declining, BRIC countries are picking up the pace",NA,http://www.bloomberg.com/news/2013-09-17/what-happens-when-the-u-s-isn-t-the-biggest-gas-guzzler-.html,NA,Bloomberg ranked BRIC countries based on average annual growth in liquid fuel consumption from 2004 to 2014 (forecast).,"Figures for each year represent millions of barrels consumed per day. Liquid fuel includes gasoline, jet fuel, fuel oil, butane and propane.",U.S. Energy Information Administration,2013-08-16
Most Cash in U.S.: Companies,8/15/2013,companies,business,Bank of America,NA,NA,most-cash-in-u-dot-s-companies-1.csv,Financial firms account for nine of the top 10 companies in the U.S. with the most cash,NA,NA,NA,"Bloomberg ranked 1,222 U.S. companies for which data were available based on the latest quarterly cash and near-cash data.",The 25 companies with the most cash are displayed.,Bloomberg,2013-08-15
Most Cash in the World: Companies,8/15/2013,companies,business,Industrial & Commercial Bank of China,NA,NA,most-cash-in-the-world-companies.csv,Banks account for 20 of the top 25 on the list of global companies ranked by cash and near cash,NA,NA,NA,"Bloomberg ranked 67,387 global companies based on cash and near cash as of the latest financial data available.",The 25 companies with the most cash are displayed.,Bloomberg,2013-08-15
Biggest Change in Employment: Countries,8/14/2013,places,business,Singapore,NA,NA,biggest-change-in-employment-countries.csv,Singapore may have the biggest 10-year increase in employment in 2014; Portugal the largest decline,NA,NA,NA,Bloomberg ranked countries based on the percentage-point change between the 2004 employment-to-population ratio and the estimated ratio for 2014.,The ratio was calculated by dividing the number of people employed in each country by the population of that country. Only countries for which IMF data were available for 2004 and 2014 were included.,International Monetary Fund World Economic Outlook Database,2013-08-14
Highest GDP Growth: States,8/14/2013,places,economics,North Dakota,NA,NA,highest-gdp-growth-states.csv,North Dakota's GDP growth since 2008 is almost three times that of second-place Texas,NA,NA,NA,Bloomberg ranked  the U.S. states and the District of Columbia by the change in real GDP from 2008 to 2012.,Data were the latest available.,U.S. Bureau of Economic Analysis,2013-08-14
Most Time Spent Daily: Activities,8/8/2013,other,lifestyle,Sleeping,NA,NA,most-time-spent-daily-activities-1.csv,"Americans work and watch television more, socialize and think less than they did in 2003",NA,NA,NA,Bloomberg ranked daily activities of full-time American workers based on the average amount of time spent on them in 2012.,Activities of more than 30 seconds were rounded to the nearest minute.,U.S. Bureau of Labor Statistics,2013-08-08
