monthYear,filename,x_network,y_network,component,class,walktrap_group,title,updated,entity,topic,winner,is_new,is_pick,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated,month,year,day,timeRow,timeCol,timeStack
6-2013,top-20-by-profits-worldwide-companies.csv,-4.260580740966722,-0.4383125830945495,2,2_261,4,Top 20 by Profits Worldwide: Companies,2013-06-11,companies,business,Exxon Mobil,NA,NA,Banks and integrated-oil companies dominate the list of 20 most profitable companies in the world,NA,NA,NA,"Bloomberg ranked 67,260 publicly listed companies based on net income for their latest fiscal year. The top 20 are displayed.",Figures are for 2012 except for Wal-Mart which has reported 2013 results. BHP Billiton is a dually-listed company with BLT LN.,Bloomberg,2013-06-11,6,2013,11,1,8,15
6-2013,most-educated-states.csv,1.4011820020538397,4.002608911297162,2,2_261,3,Most Educated: States,2013-06-11,places,education,District of Columbia,NA,NA,DC residents hold almost double the number of advanced degrees of any state,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on their populations' levels of education.,States are ranked on the percentage of the population aged 25+ with bachelor's degrees or higher.,U.S. Census Bureau  2011 American Community Survey 1-Year Estimates,2013-06-11,6,2013,11,2,8,16
6-2013,biggest-oil-producers-countries.csv,-1.398454370395361,4.757519679826966,2,2_261,5,Biggest Oil Producers: Countries,2013-06-12,places,business,Russia,NA,NA,"Russia and Saudi Arabia are neck-and-neck for top oil production, with the U.S. a distant third",NA,NA,NA,Bloomberg ranked countries based on their average daily oil production in 2012.,The 20 largest producers are displayed.,U.S. Energy Information Administration,2013-06-12,6,2013,12,1,9,17
6-2013,highest-youth-unemployment-countries.csv,-1.2408063609526307,1.5520555723360034,2,2_261,5,Highest Youth Unemployment: Countries,2013-06-12,places,economics,Greece,NA,TRUE,"In Greece and Spain, more than half of the labor force aged 15-25 is out of work",NA,NA,NA,"Bloomberg ranked 32 countries, including the 28 countries of the European Union plus Japan, Norway, Turkey and the U.S. based on the unemployment rate for the population age 15-25.","Figures are the latest annual average for 2012, not seasonally adjusted, updated as of May 31, 2013. The rate doesn't include people studying full-time or those who are neither working nor looking for a job. They are not part of the labor force which is used as the denominator for calculating the unemployment rate.",Eurostat,2013-06-12,6,2013,12,2,9,18
6-2013,greatest-growth-in-car-sales-worldwide-companies.csv,-3.6649601695455534,-2.2973346893591167,2,2_261,4,Greatest Growth in Car Sales Worldwide: Companies,2013-06-14,companies,business,Great Wall Motor,NA,NA,"Great Wall Motor posts a 42% five-year growth rate in car sales, nearly double its closest rival",NA,NA,NA,Bloomberg ranked the world's automakers by their growth from 2007 to 2012.,"Growth was measured using compound annual growth rate. Only manufacturers of at least 500,000 vehicles with data for 2012 are shown. The 2007 data for Chrysler Group were before its reorganization and the 2007 General Motors data were prebankruptcy. Data for Renault-Nissan Group and Fiat-Chrysler were broken out by manufacturing unit due to missing data for 2012 and 2007, respectively.",Bloomberg Industries,2013-06-14,6,2013,14,1,10,19
6-2013,greatest-increase-in-vehicle-sales-countries.csv,-0.24456984419034372,-2.923089051794734,2,2_261,10,Greatest Increase in Vehicle Sales: Countries,2013-06-14,places,business,Indonesia,NA,NA,Emerging-markets countries are showing the greatest increase in vehicle sales,NA,NA,NA,"Bloomberg ranked 37 countries with sales of 100,000 or more vehicles in 2007 and 2012 based on the change in sales during  that five-year period.","Ranks were determined by countries' compound annual growth rate. Vehicles in ranking include passenger cars, and may include light trucks, trucks, buses and other locally defined vehicles. World statistics are for passenger cars and light trucks.",Bloomberg Industries,2013-06-14,6,2013,14,2,10,20
6-2013,most-foreclosures-us-cities.csv,0.03809427729532714,0.7627147104694666,2,2_261,3,Most Foreclosures: U.S. Cities,2013-06-17,places,economics,"Miami, FL",NA,NA,Miami has the most foreclosures; the District of Columbia and New York City have the fewest,NA,NA,NA,"Bloomberg ranked the 76 U.S. cities with at least 250,000 residents as of 2012 based on the number of homes in any stage of foreclosure as of May 2013.","Rates were per 1,000 homes. Data were rounded.",RealtyTrac,2013-06-17,6,2013,17,1,11,21
6-2013,least-expensive-housing-markets-us-cities.csv,-0.23523502538506677,-1.6557901879161245,2,2_261,3,Least Expensive Housing Markets: U.S. Cities,2013-06-24,places,economics,"Ocala, FL",NA,NA,"Ocala, FL and Rockford, IL top the list for least expensive housing as of May 2013",NA,NA,NA,Bloomberg ranked U.S. cities for which data were available based on median home sale price in May 2013.,Data were for sales of all residential property types within the metro areas in which the cities are located.,Zillow,2013-06-24,6,2013,24,2,11,22
6-2013,most-expensive-housing-markets-us-cities.csv,0.01647391508398466,-0.9703894565450476,2,2_261,3,Most Expensive Housing Markets: U.S. Cities,2013-06-24,places,economics,"San Jose, CA",NA,NA,California has 12 of the 20 priciest housing markets,NA,NA,NA,Bloomberg ranked U.S. cities for which data were available based on median home sale price in May 2013.,Data were for sales of all residential property types within the metro areas in which the cities are located.,Zillow,2013-06-24,6,2013,24,1,12,23
6-2013,highest-obesity-inequality-slash-females-countries.csv,-12.556586805654979,3.8811157938183873,2,2_261,11,Highest Obesity Inequality/Females: Countries,2013-06-25,places,lifestyle,Bangladesh,NA,NA,Bangladesh has the largest ratio of underweight women to obese women in the world,NA,NA,NA,Bloomberg ranked countries based on the number of underweight women for every woman who is obese.,"The 20 countries with the greatest disparity, calculated by dividing the percentage of underweight women by the percentage of obese women, are shown. Excluded were countries with fewer than 10 million female adults or those lacking sufficient data. Data were most recent available. Body Mass Index (BMI) is an index of weight-to-height used to classify underweight, overweight and obesity in adults. BMI classification: Underweight <18.5, Normal: 18.5 to 24.99, Overweight: 25 to 29.9, Obese: 30+.","World Health Organization, United Nations Population Division",2013-06-25,6,2013,25,2,12,24
6-2013,highest-obesity-inequality-slash-males-countries.csv,-12.506160851163948,3.6140229939881467,2,2_261,11,Highest Obesity Inequality/Males: Countries,2013-06-25,places,lifestyle,Ethiopia,NA,NA,Ethiopia has the largest ratio of underweight men to obese men in the world,NA,NA,NA,Bloomberg ranked countries based on the number of underweight men for every man who is obese.,"The 20 countries with the greatest disparity, calculated by dividing the percentage of underweight men by the percentage of obese men, are shown. Excluded were countries with fewer than 10 million male adults or those lacking sufficient data. Data were most recent available. Body Mass Index (BMI) is an index of weight-to-height used to classify underweight, overweight and obesity in adults. BMI classification: Underweight <18.5, Normal: 18.5 to 24.99, Overweight: 25 to 29.9, Obese: 30+.","World Health Organization, United Nations Population Division",2013-06-25,6,2013,25,1,13,25
6-2013,most-assets-in-u-dot-s-banks.csv,-10.261729983934726,7.34311857146123,2,2_261,24,Most Assets in U.S.: Banks,2013-06-25,companies,economics,JPMorgan Chase,NA,NA,JPMorgan and Bank of America have combined total assets of nearly $4.6 trillion,NA,NA,NA,"Bloomberg ranked 1,377 U.S. banks and institutional financial services companies by latest available total assets and identified the top 25.",All data were as of the first quarter of 2013. Security and commodity exchanges were excluded.,Bloomberg,2013-06-25,6,2013,25,2,13,26
6-2013,biggest-prime-workforce-states.csv,3.8262484373878305,2.6708441700513963,2,2_261,8,Biggest Prime Workforce: States,2013-06-26,places,economics,District of Columbia,NA,NA,District of Columbia has the highest percentage of 25-to-44 year-old residents; Maine the lowest,NA,NA,NA,"Bloomberg ranked the U.S. states and the District of Columbia by the percentage of 25-to-44 year-olds in their population, a proxy for the concentration of prime workforce.","Population data were as of 2011, the latest available.",U.S. Census Bureau 2011 American Community Survey 1-Year Estimates,2013-06-26,6,2013,26,1,14,27
6-2013,highest-concentration-of-restaurants-states.csv,5.104900499013442,3.5524824411885167,2,2_261,8,Highest Concentration of Restaurants: States,2013-06-26,places,business,District of Columbia,NA,NA,"District of Columbia and Hawaii have the most restaurants per 1,000 households",NA,NA,NA,"Bloomberg ranked the U.S. states and the District of Columbia based on restaurant concentration, defined as the number of eating and drinking establishments per 1,000 households.","Restaurant data and household data were as of 2011, the latest available.","National Restaurant Association, U.S. Census Bureau",2013-06-26,6,2013,26,2,14,28
6-2013,most-financial-aid-colleges.csv,-7.199648650036892,3.8519314205728983,2,2_261,23,Most Financial Aid: Colleges,2013-06-27,schools,education,Boston University,NA,NA,Boston University provides greatest amount of financial aid though only 55% of students who apply get it,NA,NA,NA,Bloomberg ranked the top 50 U.S. colleges and universities based on institutional grant aid they provided to full-time first-time undergraduates.,"Included were 1,941 public and private not-for profit schools of four years or more. Schools were listed by campus if there was more than one campus. Total grant aid included institutional, federal and state/local grants. Data were for the most recently available school year.","U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), 2010-2011 data, Student Financial Aid component (final release)",2013-06-27,6,2013,27,1,15,29
6-2013,highest-unemployment-countries.csv,-1.3070558030378396,3.17809817377561,2,2_261,5,Highest Unemployment: Countries,2013-06-28,places,economics,Greece,NA,NA,"Four countries have jobless rates higher than 20%: Greece, Spain, South Africa and Nigeria",NA,NA,NA,"Bloomberg ranked 70 countries and the euro zone based on the latest unemployment rates reported through June 28, 2013.",Figures for Kazakhstan and Vietnam are from the IMF.  Figures are rounded.,"Bloomberg, International Monetary Fund",2013-06-28,6,2013,28,2,15,30
7-2013,biggest-increase-in-beer-consumption-states.csv,5.409858202628191,0.2590953232950371,2,2_261,8,Biggest Increase in Beer Consumption: States,2013-07-02,places,business,North Dakota,NA,NA,The Peace Garden State -- North Dakota -- increased beer consumption most from 2011 to 2012,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on change in consumption of beer from 2011 to 2012 .,Data were for per capita consumption of beer in 2012 and 2011 for residents ages 21 and older.,Beer Institute; Alcohol and Tobacco Tax and Trade Bureau; U.S. Census Bureau,2013-07-02,7,2013,2,1,1,1
7-2013,most-beer-consumption-2012-states.csv,4.89953629623678,0.870649984463954,2,2_261,8,Most Beer Consumption 2012: States,2013-07-02,places,business,North Dakota,NA,NA,The Peace Garden State -- North Dakota -- ranks first in beer consumption,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on per capita consumption of beer in 2012 for residents ages 21 and older,Change in consumption was calculated for the five years from 2007-2012.,Beer Institute; Alcohol and Tobacco Tax and Trade Bureau; U.S. Census Bureau,2013-07-02,7,2013,2,2,1,2
7-2013,longest-life-span-in-e-europe-slash-central-asia-countries.csv,7.29991329234846,3.5480015223974113,2,2_261,2,Longest Life Span in E. Europe/Central Asia: Countries,2013-07-02,places,lifestyle,Slovenia,NA,NA,The lifespan in Afghanistan is the shortest of Eastern Europe and Central Asia,NA,NA,NA,Bloomberg ranked countries in Eastern Europe and Central Asia based on life expectancy.,Life expectancy is defined as the number of years a newborn infant is expected to live assuming that age-specific mortality levels are constant.,World Bank,2013-07-02,7,2013,2,1,2,3
7-2013,most-oil-dependent-economies-countries.csv,-1.6149919093564022,6.818126518749542,2,2_261,5,Most Oil-Dependent Economies: Countries,2013-07-03,places,business,Libya,NA,NA,Libya and Singapore are counting on oil exports to grow their economies,NA,NA,NA,Bloomberg ranked countries based on change in oil exports as a percentage of GDP from 1993 to 2018.,The International Monetary Fund provided estimates for 2018. Included were countries with projected oil exports and GDP of at least $1 billion in 2018.,International Monetary Fund's World Economic Outlook Database,2013-07-03,7,2013,3,2,2,4
7-2013,longest-life-span-in-middle-east-and-africa-countries.csv,7.157480376883562,3.9571230402816835,2,2_261,2,Longest Life Span in Middle East and Africa: Countries,2013-07-05,places,lifestyle,Israel,NA,NA,Israelis enjoy the longest life expectancy in their part of the world,NA,NA,NA,Bloomberg ranked Middle Eastern and African countries on life expectancy.,Life expectancy is defined as the number of years a newborn infant would live assuming that age-specific mortality levels are constant.,World Bank,2013-07-05,7,2013,5,1,3,5
7-2013,highest-paid-at-companies-that-lost-money-ceos.csv,-7.267609925430199,-0.16228435629805463,2,2_261,4,Highest-Paid at Companies That Lost Money: CEOs,2013-07-08,people,business,John Richels,NA,NA,Six CEOs whose companies showed negative net income and returns in 2012 were paid $10M or more,NA,NA,NA,"Bloomberg ranked CEOs of the 746 U.S. companies that lost money and had negative total returns in their 2012 fiscal year based on total compensation, and identified the 15 CEOs with the highest pay.","All CEOs had to be in their jobs for the full year. Aubrey McClendon resigned his position at Chesapeake Energy on April 1, 2013.","Bloomberg, companies",2013-07-08,7,2013,8,2,3,6
7-2013,longest-life-span-in-asia-pacific-countries.csv,6.45335665434431,3.5762548088382653,2,2_261,2,Longest Life Span in Asia Pacific: Countries,2013-07-09,places,lifestyle,Hong Kong,NA,NA,"Hong Kong residents live 20 years more than those in East Timor, Papua New Guinea and Cambodia",NA,NA,NA,Bloomberg ranked countries in the Asia Pacific based on life expectancy.,Life expectancy is defined as the number of years a newborn infant is expected to live assuming that age-specific mortality levels are constant.,World Bank,2013-07-09,7,2013,9,1,4,7
7-2013,widest-pay-gap-between-ceos-and-salesclerks-states.csv,-5.059525940807977,0.9813400194503376,2,2_261,4,Widest Pay Gap Between CEOs and Salesclerks: States,2013-07-11,places,business,Kentucky,NA,NA,Even the best-paid retail salesperson has to work 262 years to match the average retail CEO's annual pay,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the number of years a retail salesperson working in each state would have to work to match one year of the average pay for a CEO in the retail discretionary industry sector.,CEO pay of $6.45 million for 2012 and $4 million for 2007 were calculated by averaging 2012 and 2007 fiscal-year total compensation of CEOs for more than 120 publicly traded U.S. retail discretionary companies.,"Bloomberg, Bureau of Labor Statistics",2013-07-11,7,2013,11,2,4,8
7-2013,highest-inflation-countries.csv,1.6598503611825217,-2.55184875488623,2,2_261,8,Highest Inflation: Countries,2013-07-11,places,economics,Venezuela,NA,NA,Inflation in Venezuela is more than 10 times greater than in the U.S.,NA,NA,NA,Bloomberg ranked 64 countries based on the percentage change in their Consumer Price Index from 2011 to 2012.,"For Ukraine, the 2012 figure was estimated.",Bloomberg,2013-07-11,7,2013,11,1,5,9
7-2013,longest-life-span-in-the-oecd-countries.csv,6.931037554502093,3.6549226766976806,2,2_261,2,Longest Life Span in the OECD: Countries,2013-07-13,places,lifestyle,Switzerland,NA,NA,The U.S. ranks in the lowest quartile of OECD countries for longevity,NA,http://www.bloomberg.com/money-gallery/2013-09-17/where-people-live-the-longest.html#slide1,NA,Bloomberg ranked countries in the Organization for Economic Cooperation and Development based on life expectancy.,Life expectancy is defined as the number of years a newborn infant is expected to live assuming that age-specific mortality levels are constant.,World Bank,2013-07-13,7,2013,13,2,5,10
7-2013,longest-life-span-in-western-europe-countries.csv,7.085174935302076,3.431395429334312,2,2_261,2,Longest Life Span in Western Europe: Countries,2013-07-15,places,lifestyle,Switzerland,NA,NA,Even the shortest life expectancy in Western Europe is nearly 80 years,NA,NA,NA,Bloomberg ranked countries in Western Europe based on life expectancy.,Life expectancy is defined as the number of years a newborn infant is expected to live assuming that age-specific mortality levels are constant.,World Bank,2013-07-15,7,2013,15,1,6,11
7-2013,most-married-residents-states.csv,4.584537296309357,1.9459494750107436,2,2_261,8,Most Married Residents: States,2013-07-18,places,lifestyle,Utah,NA,NA,Only one-quarter of District of Columbia residents ages 15 and older are married,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the percentage of the population ages 15 and older who are now married.,Ranking excludes people who are separated. Data were rounded.,2011 American Community Survey 1-Year Estimates,2013-07-18,7,2013,18,2,6,12
7-2013,longest-life-span-in-the-americas-countries.csv,6.888442000570704,3.370511942295033,2,2_261,2,Longest Life Span in the Americas: Countries,2013-07-19,places,lifestyle,Canada,NA,NA,"The U.S. is fourth after Canada, Costa Rica and Chile",NA,NA,NA,Bloomberg ranked countries in the Americas on life expectancy.,Life expectancy is defined as the number of years a newborn infant would live assuming that age-specific mortality levels are constant.,World Bank,2013-07-19,7,2013,19,1,7,13
7-2013,highest-dividend-yields-in-u-dot-s-companies.csv,-7.82308129725109,1.1806985825217173,2,2_261,4,Highest Dividend Yields in U.S.: Companies,2013-07-24,companies,investing,Arlington Asset Investment,NA,NA,A mortgage investor tops the list of companies with highest dividends relative to share price,NA,NA,NA,"Bloomberg ranked U.S. companies based on dividend yield on July 24, 2013. The yield was based on the July 24, 2013 share price and on the last dividend or partnership distribution paid annualized.","The universe consisted of 1,000 companies with share prices of at least $1 and market capitalizations of at least $250 million. Equity and nonequity investment instruments (such as mutual funds and exchange-traded funds) were excluded as were companies with no share price on July 24 or a share price lower than it was one year earlier. Among the 180 companies that remained, the top 25 were identified. Hugoton Royalty Trust pays its dividend monthly; all other companies pay quarterly.",Bloomberg,2013-07-24,7,2013,24,2,7,14
7-2013,biggest-gains-single-family-home-prices-us-cities.csv,0.5055351750428648,-1.0785061446909392,2,2_261,3,"Biggest Gains, Single-Family Home Prices: U.S. Cities",2013-07-24,places,personal-finance,"Jacksonville, FL",NA,NA,"Prices for single-family homes in Jacksonville, FL have increased more than 36% in one year",NA,NA,NA,Bloomberg ranked U.S. cities for which data were available based on the percentage increase in the median sale price of single-family homes in each city's metro area from June 2012 to June 2013.,Data were rounded.,Zillow,2013-07-24,7,2013,24,1,8,15
7-2013,biggest-gap-between-male-and-female-pay-ceos.csv,-6.52045820594782,1.1110085278975035,2,2_261,4,Biggest Gap Between Male and Female Pay: CEOs,2013-07-30,people,business,Patti Hart,NA,NA,Women CEOs of S&P 500 companies earn 17% less than the average chief executive,NA,NA,NA,Bloomberg compared the total compensation received by female CEOs in the S&P 500 to the average received by CEOs of both genders in their respective industry groups and ranked the female CEOs by the percentage difference.,"CEOs who were not in their jobs for the full fiscal year were excluded. Data were for companies' 2012 fiscal year, except for TJX Companies, whose 2013 fiscal year ended in January.","Bloomberg, companies",2013-07-30,7,2013,30,2,8,16
7-2013,most-profitable-in-technology-in-u-dot-s-companies.csv,-3.919402498461642,-0.8437707015580398,2,2_261,4,Most Profitable in Technology in U.S.: Companies,2013-07-31,companies,business,Apple,NA,NA,Apple is almost two times more profitable than its nearest rival,NA,NA,* 2013 data,Bloomberg ranked technology companies based on latest available annual net income. Included were the 70 companies in the S&P 500 Information Technology Index as well as the five companies in the Internet & Catalog Retail Industry Index.,Data were for fiscal year 2012 unless indicated.,Bloomberg,2013-07-31,7,2013,31,1,9,17
8-2013,most-untaxed-overseas-profits-in-us-technology-companies.csv,-5.276552764739749,-1.3098217067281117,2,2_261,4,Most Untaxed Overseas Profits in U.S. Technology: Companies,2013-08-01,companies,business,Microsoft,NA,NA,Microsoft accounts for 20% of the $416 billion U.S. tech companies hold in overseas profits,NA,NA,NA,"Bloomberg ranked the 70 companies in the S&P 500 Information Technology Sector Index, along with the  five companies  in the S&P 500 Internet & Catalog Retail Index, based on the amount of undistributed earnings held outside the U.S.","The top 25 companies are displayed. Data were from the latest available Annual Report or Form 10-K filed by the company. Five companies (Fidelity National Information Services, Fiserv, Paychex, SAIC and Salesforce.com) did not have information available.",Company filings,2013-08-01,8,2013,1,1,1,1
8-2013,most-back-to-school-stores-states.csv,3.8807462136143345,5.213967559085539,2,2_261,29,Most Back-to-School Stores: States,2013-08-06,places,business,New Jersey,NA,NA,New Jersey has more back-to-school shopping per square mile than any other state,NA,NA,NA,Bloomberg ranked the U.S. states based on the number of retail establishments that sell back-to-school merchandise per square land mile.,"An establishment is a single physical location at which business is conducted. Retail totals were only for establishments identified in the following NAICS sectors and subsectors:  electronics and appliance stores; clothing and clothing accessory stores; sporting goods stores; hobby, toy and game stores; musical instrument and supplies stores; bookstores; general merchandise stores; and office supply and stationery stores. Data are for locations with paid employees only.  Land area data were rounded after calculating the stores per square mile.","U.S. Census, County Business Patterns 2011 and Census 2010",2013-08-06,8,2013,6,2,1,2
8-2013,best-graduation-rates-colleges.csv,-6.77086363213478,3.22700969600362,2,2_261,23,Best Graduation Rates: Colleges,2013-08-06,schools,education,Williams College,NA,NA,Williams College is No. 1 among undergraduate schools with 93% of students graduating in four years,NA,NA,NA,Bloomberg ranked U.S. colleges and universities based on the four-year bachelor's-degree graduation rate at or above 80% for full-time first-time students.,"Six-year and eight-year graduation rates were provided for comparison. Included were 1,941 public and private not-for-profit schools of four years or more that offer broad curricula; specialty schools were omitted such as military academies, seminaries and schools with religious focus, music and art schools, engineering schools, nursing schools and medical training schools.  Data were for 2010 to 2011, the most recently available school year.","U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), 2010-2011 data, Student Graduation Rate component (final release)",2013-08-06,8,2013,6,1,2,3
8-2013,most-time-spent-daily-activities-1.csv,1.0272536107536274,-0.8291628137779564,2,2_261,3,Most Time Spent Daily: Activities,2013-08-08,other,lifestyle,Sleeping,NA,NA,"Americans work and watch television more, socialize and think less than they did in 2003",NA,NA,NA,Bloomberg ranked daily activities of full-time American workers based on the average amount of time spent on them in 2012.,Activities of more than 30 seconds were rounded to the nearest minute.,U.S. Bureau of Labor Statistics,2013-08-08,8,2013,8,2,2,4
8-2013,biggest-change-in-employment-countries.csv,5.106754015654432,-1.8577337652896853,2,2_261,8,Biggest Change in Employment: Countries,2013-08-14,places,business,Singapore,NA,NA,Singapore may have the biggest 10-year increase in employment in 2014; Portugal the largest decline,NA,NA,NA,Bloomberg ranked countries based on the percentage-point change between the 2004 employment-to-population ratio and the estimated ratio for 2014.,The ratio was calculated by dividing the number of people employed in each country by the population of that country. Only countries for which IMF data were available for 2004 and 2014 were included.,International Monetary Fund World Economic Outlook Database,2013-08-14,8,2013,14,1,3,5
8-2013,highest-gdp-growth-states.csv,3.972722771302434,0.7010992652539565,2,2_261,8,Highest GDP Growth: States,2013-08-14,places,economics,North Dakota,NA,NA,North Dakota's GDP growth since 2008 is almost three times that of second-place Texas,NA,NA,NA,Bloomberg ranked  the U.S. states and the District of Columbia by the change in real GDP from 2008 to 2012.,Data were the latest available.,U.S. Bureau of Economic Analysis,2013-08-14,8,2013,14,2,3,6
8-2013,most-cash-in-the-world-companies.csv,-6.234699906384354,3.599376710306189,2,2_261,4,Most Cash in the World: Companies,2013-08-15,companies,business,Industrial & Commercial Bank of China,NA,NA,Banks account for 20 of the top 25 on the list of global companies ranked by cash and near cash,NA,NA,NA,"Bloomberg ranked 67,387 global companies based on cash and near cash as of the latest financial data available.",The 25 companies with the most cash are displayed.,Bloomberg,2013-08-15,8,2013,15,1,4,7
8-2013,most-cash-in-u-dot-s-companies-1.csv,-5.463885945879023,2.495057281432254,2,2_261,4,Most Cash in U.S.: Companies,2013-08-15,companies,business,Bank of America,NA,NA,Financial firms account for nine of the top 10 companies in the U.S. with the most cash,NA,NA,NA,"Bloomberg ranked 1,222 U.S. companies for which data were available based on the latest quarterly cash and near-cash data.",The 25 companies with the most cash are displayed.,Bloomberg,2013-08-15,8,2013,15,2,4,8
8-2013,highest-growth-in-bric-fuel-consumption-countries.csv,-1.110866921085118,-7.306393131744903,2,2_261,10,Highest Growth in BRIC Fuel Consumption: Countries,2013-08-16,places,economics,China,NA,NA,"While U.S. fuel consumption is declining, BRIC countries are picking up the pace",NA,http://www.bloomberg.com/news/2013-09-17/what-happens-when-the-u-s-isn-t-the-biggest-gas-guzzler-.html,NA,Bloomberg ranked BRIC countries based on average annual growth in liquid fuel consumption from 2004 to 2014 (forecast).,"Figures for each year represent millions of barrels consumed per day. Liquid fuel includes gasoline, jet fuel, fuel oil, butane and propane.",U.S. Energy Information Administration,2013-08-16,8,2013,16,1,5,9
8-2013,biggest-change-in-real-estate-loans-countries.csv,5.519881920786321,-0.4725387866068244,2,2_261,8,Biggest Change in Real Estate Loans: Countries,2013-08-20,places,economics,Canada,NA,NA,"While residential real estate loans have cooled in the U.S., they're heating up in other countries",NA,NA,NA,Bloomberg ranked countries based on the change in the ratio of real estate loans to total loans.,Countries were ranked by the percentage-point difference in the fourth quarter of 2009 compared to the fourth quarter of 2012. Includes all countries with IMF data available for both quarters. Figures may not add up due to rounding.,International Monetary Fund,2013-08-20,8,2013,20,2,5,10
8-2013,highest-risk-adjusted-returns-in-us-tech-companies.csv,-5.930554334049992,-1.3145496292234689,2,2_261,4,Highest Risk-Adjusted Returns in U.S. Tech: Companies,2013-08-22,investments,investing,MasterCard,NA,TRUE,MasterCard has the best three-year risk-adjusted return among U.S. technology companies,NA,http://www.bloomberg.com/slideshow/2013-08-22/top-20-tech-stocks-least-pain-most-gain.html,NA,"Bloomberg ranked the companies in the S&P 500 Information Technology Sector Index and the S&P 500 Internet & Catalog Retail Industry Index by their stocks' risk-adjusted returns from August 16, 2010 to August 16, 2013.","Excluded were TripAdvisor, which didn't have three years of history, and companies headquartered outside the U.S. Names of the CEOs of these companies and their most recent pay are also shown. (Pay is given as NA if CEO didn't serve for the full fiscal year.)  For Akamai Technologies, Analog Devices, Electronic Arts, FLIR Systems, Intel, Jabil Circuit, Symantec, Visa and Western Digital, the CEO listed is no longer the chief executive officer. Risk-adjusted returns for Cisco Systems, KLA-Tencor, Linear Technology, Microsoft, Oracle, Paychex and Western Digital were for the fiscal year ending in 2013, though the latest compensation data was for the 2012 fiscal year.",Bloomberg,2013-08-22,8,2013,22,1,6,11
8-2013,most-retirement-spent-alone-for-women-states.csv,5.859732040831205,1.520550046309,2,2_261,2,Most Retirement Spent Alone for Women: States,2013-08-23,places,lifestyle,District of Columbia,NA,NA,Women in the U.S. live 16 years beyond retirement age and outlive men by 4.7 years on average,NA,NA,NA,Bloomberg ranked the 50 U.S. states and the District of Columbia based on the expected percentage of postretirement years females in each state will spend alone without a male life partner.,The percentage was calculated by dividing the average number of years a female was expected to outlive a male by the average postretirement life expectancy of the female. The ranking assumed a retirement age of 65. Data are latest available. Figures are rounded.,"2013 Measure of America project of the Social Science Research Council, Institute for Health Metric & Evaluation (IHME) at the University of Washington",2013-08-23,8,2013,23,2,6,12
8-2013,top-tourist-destinations-countries.csv,8.505927863054156,14.310287906869162,8,8_5,NA,Top Tourist Destinations: Countries,2013-08-26,places,lifestyle,France,NA,NA,International tourists are fondest of France though they spend more than twice as much in the U.S.,NA,NA,NA,Bloomberg ranked countries based on the number of international tourist arrivals in 2012 and identified the 15 with the most arrivals.,"International tourists are overnight visitors who are nonresidents of that country. Arrivals to Germany and Italy were counted at collective tourism establishments, such as hotels, campsites and conference centers; arrivals to remaining countries were counted at frontiers. Tourist figures refer to number of arrivals, not number of persons. Data were collected as of June 2013.",World Tourism Organization (UNWTO),2013-08-26,8,2013,26,1,7,13
8-2013,top-spenders-on-international-tourism-countries.csv,9.334489193209787,13.6576354534316,8,8_5,NA,Top Spenders on International Tourism: Countries,2013-08-27,places,economics,China,NA,NA,Chinese travelers spent a record $102 billion on international tourism last year,NA,NA,NA,Bloomberg ranked countries based on citizens' spending on international tourism in 2012.,"To compare countries, total expenditures were shown in U.S. dollars, though the year-over-year increase was shown in local currencies. Data were collected by the World Tourism Organization (UNWTO) in June 2013.",World Tourism Organization (UNWTO),2013-08-27,8,2013,27,2,7,14
8-2013,worlds-worst-for-departures-airports.csv,-4.836505992711338,-4.28188392464459,2,2_261,1,World's Worst for Departures: Airports,2013-08-27,places,business,Beijing Capital International,NA,NA,Beijing and Shanghai's primary international airports had the worst departure delays in 2012,NA,NA,NA,Bloomberg ranked 35 international airports by flight departure delays in 2012.,"Each airport received a departure-delay score based on the weighted sum of three degrees of lateness: late (15-29 minutes), very late (30-44 minutes) and excessively late (greater than 44 minutes). They were weighted 20%, 30% and 50%, respectively. Only completed flights for which FlightStats had final status were included. Cancellations were subtracted from the sample size before percentages were calculated. The sample size for most airports exceeded 90% of flights. Lateness was determined by scheduled versus actual gate time or, if that was unavailable, scheduled runway time versus actual runway time.",FlightStats.com,2013-08-27,8,2013,27,1,8,15
