title,updated,entity,topic,winner,is_new,is_pick,filename
Fewest Female CFA Society Members: Countries,8/28/2013,places,business,Brazil,,,fewest-female-cfa-society-members-countries.csv
Most Female Members: U.S. CFA Societies,8/28/2013,other,business,"CFA Society of Washington, DC",,,most-female-members-us-cfa-societies.csv
Top Spenders on International Tourism: Countries,8/27/2013,places,economics,China,,,top-spenders-on-international-tourism-countries.csv
World's Worst for Departures: Airports,8/27/2013,places,business,Beijing Capital International,,,worlds-worst-for-departures-airports.csv
Worst On-Time Arrivals in U.S.: Airports,8/27/2013,places,business,Newark Liberty International,,,worst-on-time-arrivals-in-u-dot-s-airports.csv
Best in Florida for Seniors: Counties,8/27/2013,places,lifestyle,Sarasota,,,best-in-florida-for-seniors-counties.csv
Top Tourist Destinations: Countries,8/26/2013,places,lifestyle,France,,,top-tourist-destinations-countries.csv
Most Retirement Spent Alone for Women: States,8/23/2013,places,lifestyle,District of Columbia,,,most-retirement-spent-alone-for-women-states.csv
Highest Risk-Adjusted Returns in U.S. Tech: Companies,8/22/2013,investments,investing,MasterCard,,TRUE,highest-risk-adjusted-returns-in-us-tech-companies.csv
Biggest Change in Real Estate Loans: Countries,8/20/2013,places,economics,Canada,,,biggest-change-in-real-estate-loans-countries.csv
Highest Growth in BRIC Fuel Consumption: Countries,8/16/2013,places,economics,China,,,highest-growth-in-bric-fuel-consumption-countries.csv
Most Cash in U.S.: Companies,8/15/2013,companies,business,Bank of America,,,most-cash-in-u-dot-s-companies-1.csv
Most Cash in the World: Companies,8/15/2013,companies,business,Industrial & Commercial Bank of China,,,most-cash-in-the-world-companies.csv
Biggest Change in Employment: Countries,8/14/2013,places,business,Singapore,,,biggest-change-in-employment-countries.csv
Highest GDP Growth: States,8/14/2013,places,economics,North Dakota,,,highest-gdp-growth-states.csv
Most Time Spent Daily: Activities,8/8/2013,other,lifestyle,Sleeping,,,most-time-spent-daily-activities-1.csv
Best Graduation Rates: Colleges,8/6/2013,schools,education,Williams College,,,best-graduation-rates-colleges.csv
Most Back-to-School Stores: States,8/6/2013,places,business,New Jersey,,,most-back-to-school-stores-states.csv
Most Untaxed Overseas Profits in U.S. Technology: Companies,8/1/2013,companies,business,Microsoft,,,most-untaxed-overseas-profits-in-us-technology-companies.csv
Most Profitable in Technology in U.S.: Companies,7/31/2013,companies,business,Apple,,,most-profitable-in-technology-in-u-dot-s-companies.csv
Biggest Gap Between Male and Female Pay: CEOs,7/30/2013,people,business,Patti Hart,,,biggest-gap-between-male-and-female-pay-ceos.csv
"Biggest Gains, Single-Family Home Prices: U.S. Cities",7/24/2013,places,personal-finance,"Jacksonville, FL",,,biggest-gains-single-family-home-prices-us-cities.csv
Highest Dividend Yields in U.S.: Companies,7/24/2013,companies,investing,Arlington Asset Investment,,,highest-dividend-yields-in-u-dot-s-companies.csv
Dirtiest Beaches in the U.S.: States,7/23/2013,places,lifestyle,Ohio,,,dirtiest-beaches-in-the-u-dot-s-states.csv
Longest Life Span in the Americas: Countries,7/19/2013,places,lifestyle,Canada,,,longest-life-span-in-the-americas-countries.csv
Most Married Residents: States,7/18/2013,places,lifestyle,Utah,,,most-married-residents-states.csv
Most Deficient Bridges: States,7/16/2013,places,politics-and-policy,Pennsylvania,,,most-deficient-bridges-states.csv
Longest Life Span in Western Europe: Countries,7/15/2013,places,lifestyle,Switzerland,,,longest-life-span-in-western-europe-countries.csv
Longest Life Span in the OECD: Countries,7/13/2013,places,lifestyle,Switzerland,,,longest-life-span-in-the-oecd-countries.csv
Widest Pay Gap Between CEOs and Salesclerks: States,7/11/2013,places,business,Kentucky,,,widest-pay-gap-between-ceos-and-salesclerks-states.csv
Least Upwardly Mobile Low-Wage Workers: States,7/11/2013,places,personal-finance,New Jersey,,,least-upwardly-mobile-low-wage-workers-states.csv
Highest Inflation: Countries,7/11/2013,places,economics,Venezuela,,,highest-inflation-countries.csv
Hottest Days: States,7/10/2013,places,lifestyle,California,,,hottest-days-states.csv
Most Unintentional Deaths: States,7/9/2013,places,lifestyle,New Mexico,,,most-unintentional-deaths-states.csv
Longest Life Span in Asia Pacific: Countries,7/9/2013,places,lifestyle,Hong Kong,,,longest-life-span-in-asia-pacific-countries.csv
Highest-Paid at Companies That Lost Money: CEOs,7/8/2013,people,business,John Richels,,,highest-paid-at-companies-that-lost-money-ceos.csv
Longest Life Span in Middle East and Africa: Countries,7/5/2013,places,lifestyle,Israel,,,longest-life-span-in-middle-east-and-africa-countries.csv
Most Oil-Dependent Economies: Countries,7/3/2013,places,business,Libya,,,most-oil-dependent-economies-countries.csv
Highest Ratio of Shale Gas to Natural Gas: Countries,7/3/2013,places,economics,Argentina,,,highest-ratio-of-shale-gas-to-natural-gas-countries.csv
Biggest Increase in Beer Consumption: States,7/2/2013,places,business,North Dakota,,,biggest-increase-in-beer-consumption-states.csv
Most Beer Consumption 2012: States,7/2/2013,places,business,North Dakota,,,most-beer-consumption-2012-states.csv
Longest Life Span in E. Europe/Central Asia: Countries,7/2/2013,places,lifestyle,Slovenia,,,longest-life-span-in-e-europe-slash-central-asia-countries.csv
Highest Unemployment: Countries,6/28/2013,places,economics,Greece,,,highest-unemployment-countries.csv
Most Financial Aid: Colleges,6/27/2013,schools,education,Boston University,,,most-financial-aid-colleges.csv
Biggest Prime Workforce: States,6/26/2013,places,economics,District of Columbia,,,biggest-prime-workforce-states.csv
Highest Concentration of Restaurants: States,6/26/2013,places,business,District of Columbia,,,highest-concentration-of-restaurants-states.csv
Highest Obesity Inequality/Females: Countries,6/25/2013,places,lifestyle,Bangladesh,,,highest-obesity-inequality-slash-females-countries.csv
Highest Obesity Inequality/Males: Countries,6/25/2013,places,lifestyle,Ethiopia,,,highest-obesity-inequality-slash-males-countries.csv
Most Assets in U.S.: Banks,6/25/2013,companies,economics,JPMorgan Chase,,,most-assets-in-u-dot-s-banks.csv
Least Expensive Housing Markets: U.S. Cities,6/24/2013,places,economics,"Ocala, FL",,,least-expensive-housing-markets-us-cities.csv
Most Expensive Housing Markets: U.S. Cities,6/24/2013,places,economics,"San Jose, CA",,,most-expensive-housing-markets-us-cities.csv
Most Foreclosures: U.S. Cities,6/17/2013,places,economics,"Miami, FL",,,most-foreclosures-us-cities.csv
Greatest Growth in Car Sales Worldwide: Companies,6/14/2013,companies,business,Great Wall Motor,,,greatest-growth-in-car-sales-worldwide-companies.csv
Greatest Increase in Vehicle Sales: Countries,6/14/2013,places,business,Indonesia,,,greatest-increase-in-vehicle-sales-countries.csv
Highest Youth Unemployment: Countries,6/12/2013,places,economics,Greece,,TRUE,highest-youth-unemployment-countries.csv
Biggest Oil Producers: Countries,6/12/2013,places,business,Russia,,,biggest-oil-producers-countries.csv
Top 20 by Profits Worldwide: Companies,6/11/2013,companies,business,Exxon Mobil,,,top-20-by-profits-worldwide-companies.csv
Biggest Increases in School Spending: States,6/11/2013,places,education,Alaska,,,biggest-increases-in-school-spending-states.csv
Most Educated: States,6/11/2013,places,education,District of Columbia,,,most-educated-states.csv
Greatest Decrease in Marriages: States,6/10/2013,places,lifestyle,Tennessee,,,greatest-decrease-in-marriages-states.csv
Highest Pay for a High School Diploma: Jobs,6/7/2013,careers,personal-finance,Managers,,,highest-pay-for-a-high-school-diploma-jobs.csv
Highest Pay for a Bachelor's Degree: Jobs,6/7/2013,careers,personal-finance,Chief Executives,,,highest-pay-for-a-bachelors-degree-jobs.csv
Highest Pay for an Advanced College Degree: Jobs,6/7/2013,careers,personal-finance,Anesthesiologists,,,highest-pay-for-an-advanced-college-degree-jobs.csv
Highest Pay for Some College: Jobs,6/7/2013,careers,personal-finance,Air Traffic Controllers,,,highest-pay-for-some-college-jobs.csv
Highest Pay without a High School Diploma: Jobs,6/7/2013,careers,personal-finance,Mine Shuttle Car Operators,,,highest-pay-without-a-high-school-diploma-jobs.csv
Most Consumers with Student Loan Debt: States,6/6/2013,places,personal-finance,District of Columbia,,,most-consumers-with-student-loan-debt-states.csv
Highest Concentration of Arts Majors: States,6/6/2013,places,education,New York,,,highest-concentration-of-arts-majors-states.csv
Highest Concentration of Engineering Majors: States,6/6/2013,places,education,Michigan,,,highest-concentration-of-engineering-majors-states.csv
Getting Fatter Fastest: States,6/5/2013,places,lifestyle,Delaware,,,getting-fatter-fastest-states.csv
Lowest Ratio of Obesity to Health Coaches: States,6/5/2013,places,lifestyle,Massachusetts,,,lowest-ratio-of-obesity-to-health-coaches-states.csv
Highest Rents: U.S. Cities,6/4/2013,places,economics,"San Jose-Sunnyvale-Santa Clara, CA",,,highest-rents-us-cities.csv
Top 20 by Revenue Worldwide: Companies,6/4/2013,companies,business,Wal-Mart Stores,,,top-20-by-revenue-worldwide-companies.csv
Top 20 by Revenue in U.S.: Companies,6/4/2013,companies,business,Wal-Mart Stores,,,top-20-by-revenue-in-u-dot-s-companies.csv
Top 20 by Profits in U.S.: Companies,6/4/2013,companies,business,Exxon Mobil,,,top-20-by-profits-in-u-dot-s-companies.csv
Top-Selling Contemporary: Female Artists,6/3/2013,people,investing,Yayoi Kusama,,,top-selling-contemporary-female-artists.csv
Most Smoker-Friendly: States,5/31/2013,places,lifestyle,Kentucky,,,most-smoker-friendly-states.csv
Most Overpaid in Banking Industry: CEOs,5/31/2013,people,business,Richard Fairbank,,,most-overpaid-in-banking-industry-ceos.csv
Most Miserable: States,5/31/2013,places,lifestyle,Louisiana,,TRUE,most-miserable-states.csv
Fastest-Growing Moving Destinations: U.S. Cities,5/30/2013,places,business,"San Francisco, CA",,,fastest-growing-moving-destinations-us-cities.csv
Top-Grossing in U.S.: Movies,5/29/2013,other,business,Gone with the Wind,,,top-grossing-in-u-dot-s-movies.csv
Most Paid Time Off: Countries,5/29/2013,places,economics,Austria,,,most-paid-time-off-countries.csv
Fastest Aging Within One Generation: Countries,5/28/2013,places,lifestyle,South Korea,,,fastest-aging-within-one-generation-countries.csv
Favorite Locations of High-Tech Companies: Countries,5/28/2013,places,business,United States,,,favorite-locations-of-high-tech-companies-countries.csv
Biggest Increases In Lobbying in U.S.: Companies,5/28/2013,companies,business,Google,,TRUE,biggest-increases-in-lobbying-in-u-dot-s-companies.csv
Least Earnings Potential: Jobs,5/25/2013,careers,personal-finance,Postal Service Mail Carriers,,,least-earnings-potential-jobs.csv
Most Earnings Potential: Jobs,5/25/2013,careers,personal-finance,"Securities, Commodities and Financial Services Sales Agents",,,most-earnings-potential-jobs.csv
Most Innovative in the U.S.: Companies,5/23/2013,companies,business,Cyberonics,,,most-innovative-in-the-u-dot-s-companies.csv
Biggest Involving Internet Companies: Takeover Deals,5/20/2013,companies,business,Skype Technologies,,,biggest-involving-internet-companies-takeover-deals.csv
Strongest in the U.S.: Banks,5/20/2013,companies,business,Citigroup,,,strongest-in-the-u-dot-s-banks.csv
Biggest Pay Premiums for Dual-Role CEOs: Industries,5/15/2013,companies,business,Telecommunication Services,,,biggest-pay-premiums-for-dual-role-ceos-industries.csv
Most Stressed-Out: Countries,5/10/2013,places,lifestyle,Nigeria,,,most-stressed-out-countries.csv
Most Decadent: Countries,5/6/2013,places,lifestyle,Czech Republic,,,most-decadent-countries.csv
Highest Salaries in OECD: Countries,5/3/2013,places,economics,United States,,,highest-salaries-in-oecd-countries.csv
"Lowest-Paying, Most Dangerous: Jobs",5/3/2013,careers,economics,Fishermen and related workers,,TRUE,lowest-paying-most-dangerous-jobs.csv
Worst for Minimum-Wage Workers: States,5/3/2013,places,personal-finance,District of Columbia,,,worst-for-minimum-wage-workers-states.csv
Best for Workers: Countries,5/3/2013,places,business,Ireland,,,best-for-workers-countries.csv
Lowest-Paid Boards: Companies,5/3/2013,companies,business,Berkshire Hathaway,,,lowest-paid-boards-companies.csv
The EU's Busiest Psychiatrists: Countries,5/2/2013,places,lifestyle,Portugal,,,the-eus-busiest-psychiatrists-countries.csv
Most Worried About by Aging Rich People: Concerns,5/1/2013,other,lifestyle,Memory,,,most-worried-about-by-aging-rich-people-concerns.csv
Most Underachieving: CEOs,5/1/2013,people,business,Meg Whitman,,,most-underachieving-ceos.csv
Highest Showbiz Pay: States,4/23/2013,places,business,California,,,highest-showbiz-pay-states.csv
Most Showbiz Jobs: States,4/23/2013,places,economics,California,,,most-showbiz-jobs-states.csv
Wealthiest Retired Residents: U.S. Cities,4/23/2013,places,lifestyle,"Crows Nest, IN",,,wealthiest-retired-residents-us-cities.csv
Longest Commutes: U.S. Cities,4/22/2013,places,lifestyle,"New York, NY",,,longest-commutes-us-cities.csv
Highest-Paid While Outearning Their CEOs: Executives,4/17/2013,people,business,Robert Mansfield,,,highest-paid-while-outearning-their-ceos-executives.csv
"Most Tax Revenue from Alcohol, Tobacco, Betting: States",4/16/2013,places,personal-finance,Texas,,,most-tax-revenue-from-alcohol-tobacco-betting-states.csv
Most Profitable Employees: Companies,4/9/2013,companies,business,InterDigital,,,most-profitable-employees-companies.csv
U.S. Brain Gains: Countries,4/8/2013,places,economics,India,,,us-brain-gains-countries.csv
Highest Pay for Tech Jobs: States,4/8/2013,places,business,District of Columbia,,,highest-pay-for-tech-jobs-states.csv
Greatest Growth in Jobs for Techies: States,4/8/2013,places,personal-finance,California,,,greatest-growth-in-jobs-for-techies-states.csv
Most Efficient: Companies,4/3/2013,companies,business,Mueller Industries,,TRUE,most-efficient-companies.csv
Fastest-Growing: College Endowments,4/2/2013,schools,education,UCLA Foundation,,,fastest-growing-college-endowments.csv
Highest Electricity Production: Countries,3/31/2013,places,economics,United States,,,highest-electricity-production-countries.csv
Fewest Female Top Executives: States,3/31/2013,places,business,Arkansas,,,fewest-female-top-executives-states.csv
Most Volunteers: States,3/30/2013,places,lifestyle,Utah,,TRUE,most-volunteers-states.csv
Greatest Growth in Coal Production: States,3/29/2013,places,business,Wyoming,,,greatest-growth-in-coal-production-states.csv
Priciest Places to Wed: U.S. Cities,3/21/2013,places,personal-finance,"New York, NY (Manhattan)",,,priciest-places-to-wed-us-cities.csv
Biggest Increase in Number of Brewers: States,3/20/2013,places,business,California,,,biggest-increase-in-number-of-brewers-states.csv
Greatest Concentration of Senior Poverty: States,3/15/2013,places,economics,North Dakota,,,greatest-concentration-of-senior-poverty-states.csv
Longest Retirements: States,3/15/2013,places,lifestyle,Hawaii,,,longest-retirements-states.csv
Most Seniors: States,3/15/2013,places,lifestyle,California,,,most-seniors-states.csv
Biggest Boomtowns: U.S. Cities,3/7/2013,places,economics,"Austin-Round Rock, TX",,,biggest-boomtowns-us-cities.csv
Most Cash After Debt: Companies,3/3/2013,companies,business,General Electric,,,most-cash-after-debt-companies.csv
Most Money Going to Home Improvement: U.S. Cities,2/25/2013,places,business,"Phoenix, AZ",,,most-money-going-to-home-improvement-us-cities.csv
Highest Passive Earners: U.S. Cities,2/25/2013,places,personal-finance,"San Francisco-Oakland-Fremont, CA",,,highest-passive-earners-us-cities.csv
Most Noncitizen Homeowners: U.S. Cities,2/13/2013,places,lifestyle,"El Paso, TX",,,most-noncitizen-homeowners-us-cities.csv
Highest-Earning Top 5%: U.S. Cities,2/13/2013,places,personal-finance,"Huntleigh, MO",,,highest-earning-top-5-percent-us-cities.csv
Most Million-Dollar Tax Filers: States,2/12/2013,places,personal-finance,California,,,most-million-dollar-tax-filers-states.csv
Biggest Gender Gap in Earnings: Countries,1/31/2013,places,personal-finance,South Korea,,,biggest-gender-gap-in-earnings-countries.csv
Best Five-Year Employee Growth: Industries,1/23/2013,companies,business,Technology - Hardware,,,best-five-year-employee-growth-industries.csv
Highest Male/Female Ratios: States,1/16/2013,places,lifestyle,North Dakota,,,highest-male-slash-female-ratios-states.csv
Oldest Fleets: Airlines,1/16/2013,companies,business,Allegiant Air,,,oldest-fleets-airlines.csv
Largest Wage Increases: States,1/14/2013,places,personal-finance,District of Columbia,,,largest-wage-increases-states.csv
Most Popular for Heating U.S. Homes: Energy Sources,1/4/2013,other,economics,Gas,,,most-popular-for-heating-us-homes-energy-sources.csv
Most Volunteers: U.S. Cities,1/2/2013,places,lifestyle,"Minneapolis-St. Paul-Bloomington, MN-WI",,,most-volunteers-us-cities.csv
Biggest Lottery Losers: States,1/1/2013,places,personal-finance,Georgia,,,biggest-lottery-losers-states.csv
Biggest Brain Gains: U.S. Cities,12/19/2012,places,education,"Jersey City, NJ",,,biggest-brain-gains-us-cities.csv
Most Stores per Square Mile: States,11/29/2012,places,business,New Jersey,,,most-stores-per-square-mile-states.csv
Heaviest Women: Countries,11/27/2012,places,lifestyle,Egypt,,,heaviest-women-countries.csv
Heaviest Men: Countries,11/27/2012,places,lifestyle,Czech Republic,,,heaviest-men-countries.csv
Busiest Airports for International Travel: U.S. Cities,11/27/2012,places,lifestyle,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,,busiest-airports-for-international-travel-us-cities.csv
Heaviest Population: Countries,11/27/2012,places,lifestyle,United States,,,heaviest-population-countries.csv
Greatest Loss of Land: Countries,11/2/2012,places,politics-and-policy,St. Kitts and Nevis,,,greatest-loss-of-land-countries.csv
Highest-Paying: College Degrees,10/29/2012,schools,personal-finance,Engineering,,,highest-paying-college-degrees.csv
Most Rapidly Aging: Countries,10/24/2012,places,lifestyle,Japan,,,most-rapidly-aging-countries.csv
Longest Retirements: Countries,10/24/2012,places,lifestyle,Singapore,,,longest-retirements-countries.csv
Most Recession-Resistant: U.S. Cities,10/19/2012,places,economics,"Bismarck, ND",,,most-recession-resistant-us-cities.csv
Highest Premiums for Advanced Degrees: U.S. Cities,10/11/2012,places,personal-finance,"Miami, FL",,,highest-premiums-for-advanced-degrees-us-cities.csv
Most Popular in the World: U.S. Fast-Food Brands,7/23/2012,companies,business,Subway,,,most-popular-in-the-world-us-fast-food-brands.csv
Worst Dental Health: States,7/13/2012,places,lifestyle,Mississippi,,,worst-dental-health-states.csv
